CSD,mean,median,stdev,skew,kurtosis,zsum,nonzero
1989.0,0.0023829743154376594,0.002615013988563189,0.28811096097873873,-49.85019672348349,36834.42900404027,0.1546645685490452,0.376953125
1842.0,0.00460623506763607,0.0017536000005999273,3.8578964320173186,6.224568506462481,1373.2046272112905,0.05696399863333188,0.584716796875
1906.0,0.0031383196504868862,0.00252963420694461,0.3878074173422471,13.841342721927788,3680.274196602228,0.13397740992467713,0.5791015625
2033.0,0.0016199620899105805,0.0022445916936775466,0.566948972703062,-9.406612255207875,27705.91528730058,0.0881631105518792,0.3330078125
1812.0,0.002231279636293331,0.002153612647759484,1.0945487906452693,150.45587120348875,50672.211661403206,0.11521707741984162,0.429931640625
1862.0,0.0029792266851955654,0.0025644161488761336,0.7543439433742115,26.463437479937703,5014.555971224261,0.08610087304095995,0.6337890625
1924.0,0.002829406425382996,0.002870578923349392,0.3542606526473932,-37.56643792412155,41853.34750369314,0.12717420064851456,0.54345703125
1937.0,0.0030364344314512378,0.002862386385655946,0.3630223270572641,-120.80537358541288,56564.62908977535,0.1261710909639333,0.53955078125
1920.0,0.0030358411596368667,0.0030885168291451166,0.35856906352038526,0.5264139746164536,14756.751792796731,0.12277062284441621,0.55908203125
1816.0,-0.0008967513204556496,0.0006299159982467648,1.3805192116195601,46.418269076504494,11148.416071625887,0.11947308955752754,0.53173828125
1836.0,0.0035435239061262914,0.002230896622141154,1.2420050322671874,15.673882587044133,4778.688220160672,0.1051789376547692,0.5830078125
1885.0,0.0032348491844886645,0.0027508491238020932,0.4747559521782984,1.8593918788622887,595.2345640541462,0.1136560079846621,0.63525390625
2036.0,0.000914069079793304,0.0019152407063425352,0.5601464939300231,-167.6536986033373,69736.79115420081,0.09369422231796587,0.330810546875
1864.0,0.0018392579887637945,0.002141610161670117,0.826665974944528,37.90481623782521,14117.505921981163,0.08134738980793906,0.6005859375
1863.0,0.001970380712252403,0.001891514520568747,0.8898823135434029,32.84360842237545,6494.301477196661,0.08682880473393431,0.61962890625
1931.0,0.0034157803717128794,0.0031592807378987096,0.36833235388934493,-105.23108631463779,43943.39976709256,0.12686619667921786,0.51806640625
