CSD,mean,median,stdev,skew,kurtosis,zsum,nonzero
2183.0,,,,-0.09966639656975708,2627.761910464654,,0.0
2170.0,,,,0.5734494210977977,1789.9311105568063,,0.0
2102.0,,,,0.0611328024072581,3565.39082895575,,0.0
1842.0,,,,-94.49210443078111,23786.61771949489,,0.0
1812.0,-0.0546015399139056,-0.039048283533340916,8.769427889968405,1.289987418314253,751.8577410756296,0.34836273181781946,0.03173828125
1924.0,,,,0.0920493495399614,1541.7788961510953,,0.0
2150.0,,,,0.024597745704835163,13297.20528514429,,0.0
2179.0,-0.04678244552777027,-0.07198885855823464,34.558274119651145,0.5884280687149652,1252.9600633581274,0.2998034185402357,0.001220703125
1816.0,-0.023255599286786367,-0.015070874108246144,12.492091436372732,8.258169617770168,932.2997803402376,0.210962413941569,0.142578125
1836.0,,,,1.9913897898788497,2908.105862938652,,0.0
2077.0,,,,0.22519664783909227,9707.650717410244,,0.0
2071.0,-0.018372899873244287,-0.002500795293650826,3.2201342038805794,7.690063060038596,3821.8491937718823,0.18309442912326251,0.210205078125
2138.0,,,,2.902213295026519,28370.86600756524,,0.0
2036.0,,,,-3.5832875635527186,3831.914534377309,,0.0
2151.0,-0.047310238673254325,0.002082354412058722,6.609922148232863,8.495322465625677,1445.4412186879758,0.11649284848154975,0.18408203125
1864.0,,,,0.36243515300886614,4222.105790527636,,0.0
1863.0,,,,0.07728904146906898,2983.577954342928,,0.0
2146.0,,,,0.08161605914398992,2199.834877591878,,0.0
1896.0,,,,-0.3168566262645634,2634.290544428738,,0.0
2164.0,,,,0.10004496208177197,752.8411807375683,,0.0
2251.0,0.2982899726566211,0.012924650591607089,5.7396626121020375,434.87899330144455,291954.8802139964,0.2597250773942016,0.0498046875
2082.0,-0.038864190488309726,-0.029853267689049612,28.17064597875819,5.507968213916794,1373.22883838387,0.14604003721509268,0.0556640625
1963.0,,,,0.34378332291308705,7727.629321166056,,0.0
2141.0,0.010456624770412303,0.006793716579241112,4.249012655955639,28.587479409893056,6063.621214271247,0.1816739522200441,0.07275390625
2250.0,-0.002741044065259875,0.005649142581209549,5.955363231995112,-242.67315937723976,84635.1398372638,0.21982731291118923,0.050537109375
2083.0,,,,-0.9792766206921443,4011.320292464836,,0.0
2028.0,0.018059802331610544,-0.0024208840566657674,1.6584747190268134,116.40229340028594,36999.356201518814,0.2607829077708435,0.29345703125
2197.0,,,,0.3955467668282241,4062.5723365186327,,0.0
2027.0,,,,-143.3476749926734,53112.77929501408,,0.0
2223.0,,,,3.9319722021767007,15250.546733072764,,0.0
